gene_id,0hr_1,0hr_2,0hr_3,24hr_no_anemone_1,24hr_no_anemone_3,24hr_no_anoemone_2,24hr_with_anemone_1,24hr_with_anemone_2,24hr_with_anemone_3,48hr_with_anemone_1,48hr_with_anemone_2,48hr_with_anemone_3,48hr_with_no_anemone_1,48hr_with_no_anemone_2,48hr_with_no_anemone_3
ENSAOCG00000000661,6468,634,6290,6192,3842,6283,7398,4105,4924,5541,5425,4391,7184,3941,5345
ENSAOCG00000000799,162,633,193,44,80,96,44,17,265,45,80,38,1164,169,135
ENSAOCG00000001207,237,6,104,111,114,42,125,169,60,177,192,229,96,94,91
ENSAOCG00000002096,167,89,69,21,53,28,125,115,29,152,149,124,33,91,34
ENSAOCG00000002266,1,1,2,0,3,0,1,2,0,3,0,4,0,4,0
ENSAOCG00000003871,2397.1,1153,2281,1113,162,3343.23,1240,2015,2241,1043,3314,2101,1768.18,3696.57,1699
ENSAOCG00000003964,1,1,0,0,0,2,0,0,0,0,0,0,0,0,1
ENSAOCG00000004761,264,62,228,260,282,294,540,559,264,291,475,370,292,377,267
ENSAOCG00000005544,140,164,257,105,140,208,245,210,120,187,187,168,176,229,125
ENSAOCG00000005602,489,197,299,99,13,299,141,540,314,316,837,833,370,743,178
ENSAOCG00000005623,2540,674,3824,2401,142,5334,1019,1604,5310,1494,2136,3105,2829,7132.64,1063
ENSAOCG00000005637,1320.41,623.661,2643.77,1174.52,254,3885.34,1176.21,1771.69,2601.12,1152.17,2852.85,2292.08,4084.95,3332.95,1024.39
ENSAOCG00000005709,17,13,13,9,10,22,137,99,19,18,83,24,3,7,3
ENSAOCG00000005953,442,490,616,925,823,746,973,715,655,535,717,462,571,485,487
ENSAOCG00000006467,440,122,725,352,17,987,134,177,937,74,231,309,519,816,175
ENSAOCG00000006509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSAOCG00000006754,143.365,18.1709,103.718,47.6863,126.071,41.3646,89.4063,133.128,38.3553,86.2266,176.398,253.048,56.3007,183.023,36.1249
ENSAOCG00000007052,59,10,58,124,108,44,21,45,70,12,35,13,19,20,32
ENSAOCG00000007621,2914,948,4857,3274,2533,3761,4248,2503,4255,3327,4360,2452,4091,2480,3251
ENSAOCG00000008288,0,0,0,0,0,0,0,1,0,0,0,0,0,1.42857,0
ENSAOCG00000010418,126,38,114,84,13,245,93,78,186,39,197,80,150,377,87
ENSAOCG00000011229,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1
ENSAOCG00000011243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSAOCG00000011271,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ENSAOCG00000011433,3902,2083,4827,5598,4957,6836,7429,4183,4792,2822,5192,2268,10515,4781,4653
ENSAOCG00000011434,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
ENSAOCG00000011787,893,174,1016,1277,1035,833,1300,1236,763,1093,1243,1258,991,1090,884
ENSAOCG00000012196,155,11,92,44,88,53,90,117,53,91,88,57,56,116,71
ENSAOCG00000012601,362,250,582,297,319,609,630,337,507,333,448,308,435,417,344
ENSAOCG00000012931,3,0,1,0,0,0,0,0,2,0,1,0,1,0,1
ENSAOCG00000013524,912,351.99989999999997,1520,1115,83,2915,631,1029,1943,564,983,1452,1331,3377,539
ENSAOCG00000013636,184,57,146,164,229,164,193,229,168,151,101,105,105,146,145
ENSAOCG00000013758,1864.0029,170.0005,868.99989,627.9998,566,325.00022,842.00043,873.0002999999999,377.0003,1380.999,1256.0018,1261.9984,465,729.9999,440.99976
ENSAOCG00000013979,3064.999,1528.9959,4505.004,4413.002,4192,7376.997,10542.987000000001,4607.0019999999995,6874.005,3985.999,6549,3920.997,6984.996,4110.366,4850.004000000001
ENSAOCG00000016801,0,1,0,0,0,0,0,1,0,2,2,1,1,0,0
ENSAOCG00000018646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSAOCG00000019006,0,0.9999997170999999,0.99999980673,0,2,0,0,3,0,3,2,0,1.0000000051,0,2
ENSAOCG00000019644,7,5,22,9,16,9,11,9,7,17,8,10,4,12,14
ENSAOCG00000019888,582.9999,60,635,94,528,302,723.9999,810,550.0002000000001,963,1432.997,745,422,627,487
ENSAOCG00000020148,32,6,7,6,10,5,9,13.99998,3,15,6,18,7,12.00003,5
ENSAOCG00000020378,21090.45119,3152.34,11030.22586,5639.48,165,11242.4,2706.79,3379.31,13600.9,5655.83,7918.149780000001,4071.92,8324.87,15844.5,4201.61
ENSAOCG00000020394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSAOCG00000020417,3,7,2,3,4,5,4,3,2,1,4,0,9,3,5
ENSAOCG00000020833,2255,1453.998,3525,3304,3410,3682,3977,3297,3178,2467,3085,2048,3911,3288,2927
ENSAOCG00000021637,436,350,444,770,516,298,280,344,294,248,339,164,441,220,375
ENSAOCG00000021688,0,0,1,0,1,2,0,0,0,0,0,1,0,0,2
ENSAOCG00000022233,354.000000164587,93.9999944,261.00000302411,358,385,194,249,295,244,126.0001,266,149,192,194,231
ENSAOCG00000023017,675,99,596,322,445,485,960,894,498,968,1179.9978700000001,893.00034,583,535,497
ENSAOCG00000023317,4,39,5,26,39,19,16,34,26,28,33,26,25,27,24
ENSAOCG00000023797,558,137,438,660,760,1040,480,461,779,371,424,228,826,642,574
ENSAOCG00000023818,9,0,15,3,10,13,61,13,3,3,9,6,2,5,6
ENSAOCG00000023944,127,417,637,365,237,73,469,231,177,84,295,255,162,339,193
