ENSAOCT00000031704.1 ENSAOCG00000019772.1
ENSAOCT00000023345.1 ENSAOCG00000019582.1
ENSAOCT00000023340.1 ENSAOCG00000019572.1
ENSAOCT00000028325.1 ENSAOCG00000023876.1
ENSAOCT00000028323.1 ENSAOCG00000023874.1
ENSAOCT00000026222.1 ENSAOCG00000022090.1
ENSAOCT00000025971.1 ENSAOCG00000021845.1
ENSAOCT00000025905.1 ENSAOCG00000021820.1
ENSAOCT00000023584.1 ENSAOCG00000019778.1
ENSAOCT00000023336.1 ENSAOCG00000001422.1
ENSAOCT00000031627.1 ENSAOCG00000019558.1
ENSAOCT00000023314.1 ENSAOCG00000019552.1
ENSAOCT00000031606.1 ENSAOCG00000019513.1
ENSAOCT00000020852.1 ENSAOCG00000017499.1
ENSAOCT00000020761.1 ENSAOCG00000017414.1
ENSAOCT00000020236.1 ENSAOCG00000016969.1
ENSAOCT00000020231.1 ENSAOCG00000016963.1
ENSAOCT00000020220.1 ENSAOCG00000016948.1
ENSAOCT00000030645.1 ENSAOCG00000016938.1
ENSAOCT00000019649.1 ENSAOCG00000016451.1
ENSAOCT00000019634.1 ENSAOCG00000016428.1
ENSAOCT00000019618.1 ENSAOCG00000016407.1
ENSAOCT00000019606.1 ENSAOCG00000016402.1
ENSAOCT00000019590.1 ENSAOCG00000016397.1
ENSAOCT00000019596.1 ENSAOCG00000016392.1
ENSAOCT00000030048.1 ENSAOCG00000002080.1
ENSAOCT00000018061.1 ENSAOCG00000015052.1
ENSAOCT00000018047.1 ENSAOCG00000015044.1
ENSAOCT00000000256.1 ENSAOCG00000012982.1
ENSAOCT00000005817.1 ENSAOCG00000009274.1
ENSAOCT00000005825.1 ENSAOCG00000009263.1
ENSAOCT00000005832.1 ENSAOCG00000009257.1
ENSAOCT00000005865.1 ENSAOCG00000009234.1
ENSAOCT00000005876.1 ENSAOCG00000009229.1
ENSAOCT00000008105.1 ENSAOCG00000007813.1
ENSAOCT00000032148.1 ENSAOCG00000020968.1
ENSAOCT00000008094.1 ENSAOCG00000007823.1
ENSAOCT00000000007.1 ENSAOCG00000000007.1
ENSAOCT00000000011.1 ENSAOCG00000000011.1
ENSAOCT00000000017.1 ENSAOCG00000000017.1
ENSAOCT00000000020.1 ENSAOCG00000000020.1
ENSAOCT00000000022.1 ENSAOCG00000000022.1
ENSAOCT00000000023.1 ENSAOCG00000000023.1
ENSAOCT00000000024.1 ENSAOCG00000000024.1
ENSAOCT00000000026.1 ENSAOCG00000000026.1
ENSAOCT00000000028.1 ENSAOCG00000000028.1
ENSAOCT00000000029.1 ENSAOCG00000000029.1
ENSAOCT00000000033.1 ENSAOCG00000000033.1
ENSAOCT00000000034.1 ENSAOCG00000000034.1
ENSAOCT00000000036.1 ENSAOCG00000000036.1
ENSAOCT00000033632.1 ENSAOCG00000024774.1
ENSAOCT00000033631.1 ENSAOCG00000001793.1
ENSAOCT00000033630.1 ENSAOCG00000024773.1
ENSAOCT00000029268.1 ENSAOCG00000024773.1
ENSAOCT00000029267.1 ENSAOCG00000024772.1
ENSAOCT00000029266.1 ENSAOCG00000024771.1
ENSAOCT00000029262.1 ENSAOCG00000024771.1
ENSAOCT00000033629.1 ENSAOCG00000024770.1
ENSAOCT00000033628.1 ENSAOCG00000024769.1
ENSAOCT00000029265.1 ENSAOCG00000024768.1
ENSAOCT00000029264.1 ENSAOCG00000024767.1
ENSAOCT00000029263.1 ENSAOCG00000024766.1
ENSAOCT00000033627.1 ENSAOCG00000024765.1
ENSAOCT00000029261.1 ENSAOCG00000024764.1
ENSAOCT00000029260.1 ENSAOCG00000024763.1
ENSAOCT00000033626.1 ENSAOCG00000024762.1
ENSAOCT00000033624.1 ENSAOCG00000024762.1
ENSAOCT00000029258.1 ENSAOCG00000024761.1
ENSAOCT00000033623.1 ENSAOCG00000024761.1
ENSAOCT00000029255.1 ENSAOCG00000024761.1
ENSAOCT00000029259.1 ENSAOCG00000024760.1
ENSAOCT00000033625.1 ENSAOCG00000024759.1
ENSAOCT00000029256.1 ENSAOCG00000024758.1
ENSAOCT00000033622.1 ENSAOCG00000024758.1
ENSAOCT00000029252.1 ENSAOCG00000024757.1
ENSAOCT00000033619.1 ENSAOCG00000024757.1
ENSAOCT00000029248.1 ENSAOCG00000024757.1
ENSAOCT00000029246.1 ENSAOCG00000024757.1
ENSAOCT00000029245.1 ENSAOCG00000024757.1
ENSAOCT00000029244.1 ENSAOCG00000024757.1
ENSAOCT00000029254.1 ENSAOCG00000024756.1
ENSAOCT00000029257.1 ENSAOCG00000024755.1
ENSAOCT00000033621.1 ENSAOCG00000024754.1
ENSAOCT00000033620.1 ENSAOCG00000024753.1
ENSAOCT00000029253.1 ENSAOCG00000024752.1
ENSAOCT00000029247.1 ENSAOCG00000024751.1
ENSAOCT00000033614.1 ENSAOCG00000024751.1
ENSAOCT00000033613.1 ENSAOCG00000024751.1
ENSAOCT00000029251.1 ENSAOCG00000024750.1
ENSAOCT00000033617.1 ENSAOCG00000024749.1
ENSAOCT00000033616.1 ENSAOCG00000024749.1
ENSAOCT00000033612.1 ENSAOCG00000024749.1
ENSAOCT00000029250.1 ENSAOCG00000024748.1
ENSAOCT00000029249.1 ENSAOCG00000024747.1
ENSAOCT00000033618.1 ENSAOCG00000024747.1
ENSAOCT00000033615.1 ENSAOCG00000024745.1
ENSAOCT00000029242.1 ENSAOCG00000024745.1
ENSAOCT00000029243.1 ENSAOCG00000024744.1
ENSAOCT00000029241.1 ENSAOCG00000024743.1
ENSAOCT00000033610.1 ENSAOCG00000024742.1
ENSAOCT00000029239.1 ENSAOCG00000024741.1
ENSAOCT00000033611.1 ENSAOCG00000024740.1
ENSAOCT00000029240.1 ENSAOCG00000024739.1
ENSAOCT00000029238.1 ENSAOCG00000024738.1
