gene_id,HH_1,HH_2,HH_3,HS_1,HS_2,HS_3,SH_1,SH_2,SH_3,SS_1,SS_2,SS_3
ENSAPEG00000000204,0.350369,0.552087,0.498834,0.880136,0.806922,0.888955,0.368561,0.772535,1.18676,1.09155,1.02219,0.480684
ENSAPEG00000000580,2426.854,264.27619,3610.12,378.7179,1111.3526,1494.383,1405.25619,2607.9435,4986.74,2986.93085,5610.409594000001,3641.022
ENSAPEG00000000771,55.241653,5.53131,108.629,12.0363,29.555733,65.7618,37.1502,135.828,329.753,207.684,223.22391000000002,45.3597
ENSAPEG00000001221,0.118964,0.0270695,0,0.169687,0.0518653,0.289286,0.04848,0.185006,0.0514048,0.215218,0.501846,0
ENSAPEG00000001537,75.1394,11.2916,451.579,58.1641,80.093,388.519,53.5449,448.583,947.703,761.203,603.929,163.049
ENSAPEG00000001846,3.91778,0.95232000000000006,3.63566,1.33041,1.88838,3.93749,1.22756,6.91681,10.3114,6.29599,10.8867,1.48874
ENSAPEG00000002056,4.3691700000000004,3.61324,5.98189,9.70055,7.7822,12.2743,2.80841,7.51047,8.71306,14.4396,8.01434,9.31264
ENSAPEG00000003453,622.668,122.035,1588.81,239.284,548.084,947.919,420.9,1789.11,4659.58,2115.35,2797.4,878.496
ENSAPEG00000003526,0.0811057,0.384019,0.240368,0.6771875,0.38823954,0.54309,0.230846,0.310392,0.7576393,0.864812,1.008486,0.308774
ENSAPEG00000003841,0.0491118,0,0,0,0,0,0,0.0651479,0.0157444,0.0146128,0.00703234,0
ENSAPEG00000004096,2.59642,1.22452,4.75322,4.20552,7.28691,8.75214,1.98777,5.56994,5.43828,7.84321,7.47232,5.18092
ENSAPEG00000004234,27.8366,16.2313,8.97709,32.4024,22.2397,15.4908,19.5317,13.185,9.51984,8.90629,11.6635,15.3161
ENSAPEG00000004953,1.401132,2.88384,3.56194,3.48853,4.306900000000001,6.10874,2.930763,4.69738,5.31402,5.5271,4.25469,7.16377
ENSAPEG00000005345,15.3354,16.8269,17.4309,18.2301,15.1827,13.1916,15.6909,18.9836,21.9649,20.0737,13.9403,20.4531
ENSAPEG00000007147,5.265721,5.483655,9.211497000000001,10.47926,14.993310000000001,16.89799,4.2104669999999995,9.169468,10.923591,20.498330000000003,14.97664,7.117699999999999
ENSAPEG00000007378,0.0110649,0.014968,0.0231648,0.150107,0.0615424,0.107823,0,0.0440638,0.0567631,0.0490069,0.038927,0.08224
ENSAPEG00000007656,6.822369999999999,7.31017,8.596720000000001,6.262852,7.1435,9.39247,6.834511,10.24444,16.48719,12.19867,8.45307,6.29319
ENSAPEG00000008223,4.11358,5.1531,11.6681,4.20223,8.07658,13.6096,5.91092,11.8473,14.6008,15.9908,12.0629,4.4691
ENSAPEG00000009118,0,0.0555965,0.056612,0.199092,0.0266234,0.178041,0.0248861,0.0271366,0.0527925,0.0726723,0.0234211,0.129601
ENSAPEG00000009931,6.91839,9.38813,9.84223,10.0508,10.0406,11.044,8.58298,12.0903,21.0922,14.9237,10.1446,17.8877
