gene_id,HH_1,HH_2,HH_3,HS_1,HS_2,HS_3,SH_1,SH_2,SH_3,SS_1,SS_2,SS_3
ENSAPEG00000000939,1.75104,2.011199,2.75515,3.667958,2.79625,2.7630480000000004,1.88146,2.873874,2.55752,2.8079054,2.4713997,2.05667
ENSAPEG00000003145,0,0.122547,0.041261,0.218383,0.565381,0,0.0728055,0,0.0388507,0.247706,0.343087,0.568238
ENSAPEG00000003267,2.79642,3.10317,4.142,4.94442,5.4394,4.99511,2.93689,3.94045,5.63318,7.91732,8.49838,10.6077
ENSAPEG00000004181,16.75255,15.32327,33.0885,26.75422,22.00566,26.61945,20.5437,29.988599999999998,19.96511,28.4234,24.86064,23.360329999999998
ENSAPEG00000004968,0.236895,0,0,0,0,0.111932,0,0,0.103964,0,0,0
ENSAPEG00000005440,0,0.0414642,0.0431311,0.443239,0.19879806780099998,0,0,0,0,0.0739886,0.0348165274062,1.9227990000000001
ENSAPEG00000005593,0.951078,1.25571,1.52894,1.94065,1.59052,1.86245,1.29351,0.915318,0.674716,1.869,1.9269,1.22348
ENSAPEG00000007265,0.58167,0.585433,0.878504,1.31241,2.12681,1.35769,1.08117,0.797945,0.864545,1.23718,0.966104,1.09368
ENSAPEG00000007468,0,0.167353,0.113599,0.349576,0.480822,0.416771,0.0499386,0.217821,0.238371,0.559011,0.234996,0.260068
ENSAPEG00000008705,0.0658834,0,0,0.261677,0.236863,0.313994,0,0.109646,0.511067,0.156822,0.151436,0.209702
ENSAPEG00000008810,38.883,35.9589,33.6581,37.0832,39.4396,32.9344,39.8451,30.0535,25.6066,30.4141,38.0382,26.7431
ENSAPEG00000011864,0.12529,0.0890783,0.0817345,0.0398922,0.0830632,0.134733,0,0.11814,0.127423,0.195028,0,0
ENSAPEG00000012621,0.155929,0.133023,0.135556,0.762525,0.841227,1.13809,0.119138,0.181847,0.783053,1.27584,1.14352,1.07553
ENSAPEG00000013348,0.626222,0.563845,1.1093,3.07746,2.44368,3.61597,0.763711,0.577889,2.9915,3.40098,2.66226,1.88959
ENSAPEG00000014662,0.0456803,0.0728476,0.0708294,0.077511,0.071023,0.116683,0.0700125,0.0777893,0.183404,0.160413,0.182617,0.172756
ENSAPEG00000015394,0.980276,1.3817000015202898,1.96049,1.617568,2.639949465,2.3750963,1.5161449999999999,1.663182,1.6822430000783717,2.7261569999999997,2.296431,2.070608
ENSAPEG00000016215,2.30704,3.04202,4.27588,3.88227,3.32363,5.1056,2.89218,3.57772,3.77922,5.17949,4.70445,1.74194
ENSAPEG00000016265,2.02935,1.74885,4.76557,6.2175,5.72319,6.60426,2.5087,3.50933,3.63634,5.35383,4.85952,5.75254
ENSAPEG00000016880,0.0365058,0,0,0.0669352,0,0.0266947,0.0446188,0.0243171,0.0472636,0,0.0209893,0
ENSAPEG00000020625,1.02915,0.973174,1.532,2.93762,3.49552,2.41412,1.19921,1.99576,3.25209,4.11193,3.50091,3.79754
ENSAPEG00000020803,0.2041919612,0.279829,0.571541,0.7548725551000001,1.27163,0.837155000642776,0.766303,0.972271134455,2.457875,1.97420578041,1.5607280002381512,0.630589
ENSAPEG00000021608,1.3998500930848001,1.13523,1.85562,3.15045,3.2463032640000002,2.98055,0.967622785852,1.4806703174809999,1.93938,1.96353467991,1.781290118986,3.74843
ENSAPEG00000022247,6.218983,5.344282483230001,6.319726,9.708903,8.43727,8.6511,8.24798,5.2929900000000005,5.37363,10.18045,5.961717999999999,6.85959
ENSAPEG00000022366,2.220599,2.61449,4.40977,3.457939,4.168556,4.532951,3.875091,4.692451,5.86075,5.41172,3.9942990000000003,1.6516380000000002
ENSAPEG00000022379,0.694563,0.709253,1.138731,1.5707504854,2.156492,2.17226,0.862113,0.8909250000000001,1.549584,1.85007,1.19816,0.930567
ENSAPEG00000022419,0.398174,0.565402,0.673202,1.36919,1.25808,0.966248,0.827475,0.950809,1.69835,1.49364,1.24629,1.0323
ENSAPEG00000022858,0.3630340109786,0.27932400203816,0.315371,0.57423,0.707711,0.422474,0.111010000709689,0.178982,0.08844030151901,0.319317,0.416085,1.05962000214827
ENSAPEG00000023257,4.42795,6.125859999999999,6.225112,8.8782,11.330309999999999,8.04998,5.27309,4.77825,5.33359,7.2247,6.135695,6.21424
