gene_id,HH_1,HH_2,HH_3,HS_1,HS_2,HS_3,SH_1,SH_2,SH_3,SS_1,SS_2,SS_3
ENSAPEG00000000204,51,119,104.019,210,180,173,88,169.705,270,267,260,66
ENSAPEG00000000580,82073.95999999999,14562.975,156915.02,19611.693000000003,59366.525,51153.049999999996,85128.975,123252.726,205218.1,161352.4659,317632.99483,105274.53
ENSAPEG00000000771,2744.0038,405,7740,979,2247.9993999999997,4411,3023,10156,25462,17332,19331.971700000002,2124
ENSAPEG00000001221,3,1,0,7,2,10,2,7,2,9.12047,22,0
ENSAPEG00000001537,401,85,3504,505,651,3124,460,3509,7438,6916,5576,820
ENSAPEG00000001846,187,67,249,104,138,254,96,497,765,505,906,67
ENSAPEG00000002056,298,364,585,1084,813,1126,314,772,926,1655,954,599
ENSAPEG00000003453,3370,931,12494.6,2105,4515,7717,3667,14201,37100.5,19466.8,26183.7,4476
ENSAPEG00000003526,12.6549,57.5338,53.7241,153.75164,91.73989999999999,113.252,59.0844,73.0941,175.83412,226.751,244.50357,45.4456
ENSAPEG00000003841,4,0,0,0,0,0,0,8,2,2,1,0
ENSAPEG00000004096,118,82,310,313,507,538,148,381,384,599,592,222
ENSAPEG00000004234,677,578,314,1289,827,517,777,481,357,364,493,351
ENSAPEG00000004953,104,323,385,439,504,624,356,539,637,710,568,514
ENSAPEG00000005345,130,204,214,252,196,162,216,238,279,287,204,163
ENSAPEG00000007147,205.00019999999998,312.99960000000004,516.0003,670.9996,898,902,269.0004,536.0001,661.0003,1349.9969999999998,1020,264.0002
ENSAPEG00000007378,1.00019,2.00076,3.0011,22.2353,8.52277,13.0727,0,6.00652,8.00639,7.4441,6.14458,7.0113
ENSAPEG00000007656,530,848,969.9998,874.9999,827.0002999999999,937,972.0004,1099,1823.9979999999998,1530.004,1194.003,532
ENSAPEG00000008223,245,453,996.669,410,736.685,1092,577,1063,1353.88,1600.45,1253.47,251
ENSAPEG00000009118,0,2,2,8,1,6,1,1,2,3,1,3
ENSAPEG00000009931,973,1955,1983,2317,2164,2077,1980,2566,4636,3527,2493,2373
ENSAPEG00000010741,3,32,26,19,10,90,8,25,66,175,32,25
ENSAPEG00000011532,0,2,2,2,3,3,0,2,3,1,0,4
ENSAPEG00000011641,1232.0006,266,2719.28971,318.2872,1061.4632000000001,2458.99796,624.00034,5141.68488,10333.43383,3373.3709,8234.6796,2111.46434
ENSAPEG00000012211,0,0,0,0,0,0,0,0,0,0,0,0
ENSAPEG00000012915,0,6,2,2,5.9999988,2,0,7,22.99999,8,5,0
ENSAPEG00000013328,11,40,40,17,18,33,36,65,31,26,26,34
ENSAPEG00000013372,2,3,1,3,9,4,1,10,44,10,11,2
ENSAPEG00000013600,1,0,1.00059,0,11,3,7,1,4,2,2,2.00166
ENSAPEG00000015347,351,515,1223,1481.99732,1876.00432,2185.00308,716,1308.00034,1554.0035599999999,2371,2846.00009,618
ENSAPEG00000015648,310,864,962,1023,955,889,543,1177,1441,1906,1144,1208
ENSAPEG00000016098,34,43,63,54,84,111,65,68,111,119,127,16
ENSAPEG00000016240,0,0,0,1,2,1,0,0,0,0,0,0
ENSAPEG00000017119,1958,3498,3357,3225,2961,2967,3193,3416,4096,4691,2684,1696
ENSAPEG00000017355,11,46,33,50,34,154,55,132,88,199,226,30
ENSAPEG00000017867,0,0,1,0,0,0,0,0,0,0,0,0
ENSAPEG00000018645,26,27,14,10,16,34,31,39,17,14,30,32
ENSAPEG00000019092,1339,345,4018,486,1651,3338,1782,7852,7147,5151.0000917355,9342,736
ENSAPEG00000019490,41,60,95.99996,101,225.00050000000002,229.99960000000002,54.999970000000005,104.99951,146.9996,300.0005,223.9998,87
ENSAPEG00000019498,24,81,158,119,139,137,70,98,155,151,187,30
ENSAPEG00000020537,3,1,2,0,3,0,5,1,0,3,0,0
ENSAPEG00000020613,203,100,417,200,338,426,267,638,764,788,1086,180
ENSAPEG00000021986,7,6,12,22,13,6,15,5,6,7,28,8
ENSAPEG00000022396,340,442,486,707,659,419,276,729,845,1049,722,223
ENSAPEG00000023156,806,1481,1428,2414,1328,1783,1358,1316,1175,1782,1023,772
ENSAPEG00000023291,0,0,0,0,0,0,0,0,0,0,0,0
ENSAPEG00000023305,20.351,49.1929,91.7456,112.903,115.099,132.731,62.5541,61.0256,97.9707,176.367,152.062,34.1524
ENSAPEG00000024262,0,1,1.19385,0,0,0,0,0,0,1.30173,0,0
