gene_id,HH_1,HH_2,HH_3,HS_1,HS_2,HS_3,SH_1,SH_2,SH_3,SS_1,SS_2,SS_3
ENSAPEG00000000939,130,221.9997,293.9995,447.9997,318,277.0005,229,325.9998,296,351,320.9998,144
ENSAPEG00000003145,0,3,1,6,14.519,0,2,0,1,7,10,9
ENSAPEG00000003267,194,318,412,562,578,466,334,412,609,923,1029,694
ENSAPEG00000004181,795,1128,2410.003,2560.999,1745,2142.997,1884.9959999999999,2089.995,1547.9969999999998,2226.9970000000003,2383.996,1169
ENSAPEG00000004968,3,0,0,0,0,2,0,0,2,0,0,0
ENSAPEG00000005440,0,1,1,12,4.99999684365,0,0,0,0,2,0.999999794901,30.00001
ENSAPEG00000005593,132.88,259.768,306.025,444.434,340.541,347.972,296.435,192.985,147.323,438.807,470.415,161.241
ENSAPEG00000007265,90.5519,134.976,195.908,334.908,507.409,282.483,276.095,187.482,210.397,323.649,262.828,160.604
ENSAPEG00000007468,0,6,4,14,18,14,2,8,9,23,10,6
ENSAPEG00000008705,2,0,0,13,11,13,0,5,24,8,8,6
ENSAPEG00000008810,989,1340,1231,1543,1534,1148,1658,1147,1005,1300,1682,641
ENSAPEG00000011864,2.12731,2.20202,2,1.1067,2.15384,3.18125,0,3,3.3124,5.56482,0,0
ENSAPEG00000012621,4,5,5,32,33,40,5,7,31,55,51,26
ENSAPEG00000013348,65,86.5857,165,523.513,388.638,502.871,130,90.4792,484.793,593.214,482.661,184.993
ENSAPEG00000014662,7.2417299999999996,17.1042,16.0845,20.1426,17.2554,24.7204,18.2069,18.6126,45.4542,42.734,50.5929,25.8341
ENSAPEG00000015394,116.09020000000001,241.059000262662,331.132,315.4858,478.461747,375.6233,294.17499999999995,296.1041,313.2462000142903,543.7096,475.3298,231.2651
ENSAPEG00000016215,198,386,526,546,437,588,407,463,506,747,705,141
ENSAPEG00000016265,150,191,505,753,648,656,304,391,419,665,627,401
ENSAPEG00000016880,1,0,0,3,0,1,2,1,2,0,1,0
ENSAPEG00000020625,21,29,45,98,109,68,40,61,102,141,124,73
ENSAPEG00000020803,16.00000978,24.00003,73,108.00009258,169,78.99999007481719,109,100.99993699139999,273.99989999999997,261.999983765,225.9999400348507,53
ENSAPEG00000021608,42.00000276247,50,80,154,149.00014818,122,47.0000385918,66.000014308,90,99.00003339199999,93.00000614429,106
ENSAPEG00000022247,385.0001,489.000199357,556.9997,964.9993,775,707,806.745,484.0003,508.9996,1040,624.9998,388
ENSAPEG00000022366,207.6443,362.242,592.071,530.1003,597.5368,568.9318000000001,594.6797,662.3575,856.871,849.6764000000001,652.1473000000001,144.82850000000002
ENSAPEG00000022379,95.4736,144.347,223.23930000000001,353.90832368,453.8053,399.336,194.379,184.1126,331.2847,427.347,287.777,120.657
ENSAPEG00000022419,66.6523,140.191,161.418,375.712,322.754,216.098,227.225,240.234,444.505,420.154,364.602,163.004
ENSAPEG00000022858,8.000000245512,9.0000000666576,10,21,24,13,4.0000000259522,6,3.0000000523033,12,16.00001,22.000000045264
ENSAPEG00000023257,192.9996,394.9996,393.00030000000004,636,755,474,377.99989999999997,313.0002,362.0004,531,470.0002,255
