genes,logFC,logCPM,F,PValue,FDR
ENSAPEG00000010017.1,-2.464563068820849,4.638213216340612,127.55414882303019,2.089432320835095e-7,0.002555874594775332
ENSAPEG00000022686.1,-6.3234959768798,2.6071851648956152,115.65676052429022,3.441162856012852e-7,0.002555874594775332
ENSAPEG00000012915.1,2.174964524756865,10.925364183454956,114.16416309706898,3.675578248562387e-7,0.002555874594775332
ENSAPEG00000000256.1,-4.429040746748459,3.822868909510197,108.36921810435942,5.826697245955245e-7,0.003038768281196809
ENSAPEG00000022337.1,3.980861374867818,8.271112206311411,122.72601856914498,1.6245411185597638e-6,0.005889182735143296
ENSAPEG00000024262.1,2.064900239582678,7.452207282416013,83.9234326161663,1.7132597050054596e-6,0.005889182735143296
ENSAPEG00000024019.1,-2.6270212761887795,3.3353233273401246,79.71965439482237,2.2053867491781173e-6,0.005889182735143296
ENSAPEG00000017542.1,2.9708221072699623,4.902155378022555,86.35209225098555,2.2584469527417844e-6,0.005889182735143296
ENSAPEG00000003377.1,-3.0236980305624193,3.8217547326636727,75.89838525310765,2.8036336923318683e-6,0.0064985113839705665
ENSAPEG00000021892.1,-1.9479084670599367,4.3456801860050245,72.4262046099601,3.5199627170183517e-6,0.007342994223971984
ENSAPEG00000009842.1,-2.6044852509219654,4.58061011946248,67.4335042260538,5.769668800435205e-6,0.010180046945287301
ENSAPEG00000003704.1,-3.1856693843310726,2.997004070166627,64.0588425955389,6.3518493181799524e-6,0.010180046945287301
ENSAPEG00000005232.1,1.6770457021833984,5.031067361856317,62.89926848283406,6.9294158664748186e-6,0.010180046945287301
ENSAPEG00000004435.1,2.6599155441652043,2.9845245499225617,61.61898427235366,7.640695274911081e-6,0.010180046945287301
ENSAPEG00000005777.1,-2.2517651281437057,4.449558399450484,61.00868652986515,8.009948468225845e-6,0.010180046945287301
ENSAPEG00000021151.1,3.2661234801158634,1.7369310974815189,60.977249943457274,8.029533026404945e-6,0.010180046945287301
ENSAPEG00000010689.1,2.1093113931392478,5.507650036634695,63.37255015086395,8.29590135036116e-6,0.010180046945287301
ENSAPEG00000021595.1,1.8247357184805069,3.7678883290378726,57.558945518045135,1.0541707290842102e-5,0.012217253099680948
ENSAPEG00000013744.1,-1.4607567308060152,4.873460677499957,56.42623845312079,1.1572039478456105e-5,0.012420283730981856
