symbol,gene_id
Acads,ENSAPEG00000008223
Acaa1,ENSAPEG00000022396
Elovl5,ENSAPEG00000017355
Fads2,ENSAPEG00000021986
Fads6,ENSAPEG00000013600
Fasn,ENSAPEG00000015648
G6pd,ENSAPEG00000017119
Gpam,ENSAPEG00000015347
Idh3a,ENSAPEG00000019498
Ldhba,ENSAPEG00000001846
Ldhbb,ENSAPEG00000003841
Me1,ENSAPEG00000020613
Me2,ENSAPEG00000004096
Me3,ENSAPEG00000007656
Chrebp,ENSAPEG00000013328
Myl2a,ENSAPEG00000001537
Myl2,ENSAPEG00000003453
Mylpfa,ENSAPEG00000000580
Pck1,ENSAPEG00000022362
Pfkma,ENSAPEG00000019092
Pfkmb,ENSAPEG00000015642
Pgc1a,ENSAPEG00000022574
Pgc1b,ENSAPEG00000002056
Pkmb,ENSAPEG00000000771
Pparg,ENSAPEG00000004953
Sirt3,ENSAPEG00000000204
Srebp1c,ENSAPEG00000009931
Mylpfb,ENSAPEG00000011641
