gene_id,Ht_1,Ht_2,Ht_3,St_1,St_2,St_3
ENSAPEG00000000002.1,23.708514409000003,16.106082,27.277517200000002,20.28,33.7733926,24.667087
ENSAPEG00000000003.1,23.178,23.901,20.0948,17.166,21.8902,26.0576
ENSAPEG00000000004.1,1.97003,2.24937,2.83082,1.00549,1.71426,1.36457
ENSAPEG00000000005.1,10.3674,9.69581,8.88413,6.31781,10.8686,11.4922
ENSAPEG00000000006.1,11.21471,34.03989,48.51522,30.5911,30.29064,6.574916
ENSAPEG00000000007.1,5.07983,7.80021,8.52783,17.1071,8.45346,3.88451
ENSAPEG00000000008.1,0.783578,0.427397,0,0,0.4584,0.478414
ENSAPEG00000000009.1,2.61451,2.82547,1.20865,1.7154,2.3185,2.15206
ENSAPEG00000000010.1,41.65616,40.53353,47.0324,31.0139,35.9147,57.19712
ENSAPEG00000000011.1,11.905569999999999,8.856382,8.0714,6.63409,9.930719999999999,10.056508
ENSAPEG00000000012.1,11.654,8.90876,9.88461,7.85783,12.0777,13.7358
ENSAPEG00000000013.1,11.577407,6.17829,3.28568,3.518,7.01135,6.55507
ENSAPEG00000000014.1,39.724,48.1711,40.2476,32.6304,45.3076,59.7689
ENSAPEG00000000015.1,15.9126,16.5041,8.61915,6.17197,18.8696,9.67146
ENSAPEG00000000016.1,45.452,41.1716,53.2752,53.8156,48.5041,43.1274
ENSAPEG00000000017.1,9.45121,9.41279,9.08178,7.97681,10.201979999999999,11.10225
ENSAPEG00000000018.1,5.31155,7.49048,11.5375,0,3.63007,7.45857
ENSAPEG00000000019.1,10.50839,9.21451,7.759270000000001,7.07548,10.813970000000001,12.15994
ENSAPEG00000000020.1,2.40236,1.64841,4.93773,3.52462,4.10445,2.2325
ENSAPEG00000000021.1,0.280595,0.534059,1.04939,0,0.609089,1.29571
ENSAPEG00000000022.1,7.94963,9.9018,11.6616,6.20957,9.36847,13.1881
ENSAPEG00000000023.1,0,0,0,0,0.220936,0.414178
ENSAPEG00000000024.1,49.692,48.6369,33.7889,36.3368,62.6139,70.3477
ENSAPEG00000000025.1,250.432,184.239,196.045,196.333,132.733,220.025
ENSAPEG00000000026.1,8.06566,11.1748,6.90161,6.30007,7.68842,10.5955
ENSAPEG00000000027.1,0,1.46458,13.5339,0,0,3.79171
ENSAPEG00000000028.1,9.24687,9.03261,5.30384,8.28526,8.96765,9.40663
ENSAPEG00000000029.1,1.36353,4.71993,3.16661,9.33821,6.77243,10.999089999999999
ENSAPEG00000000030.1,6.6556,9.510447000000001,6.92763,6.820905848000001,7.31863,9.18188
ENSAPEG00000000031.1,7.32097,10.6774,7.81714,10.2572,7.4716,12.8625
ENSAPEG00000000032.1,17.97126,27.190343,7.85876,5.89077,7.5924439999999995,12.441066999999999
ENSAPEG00000000033.1,8.15341,8.84651,9.04601,2.61164,6.61959,8.82738
ENSAPEG00000000034.1,4.0783,2.73965,0,0,4.03433,3.82345
ENSAPEG00000000035.1,12.0542,8.56773,9.38986,13.5741,9.87559,10.4352
ENSAPEG00000000036.1,0.131317,0.0465444,0,0,0.0413421,0.0918987
ENSAPEG00000000037.1,0,0.0409266,0,0,0,0
ENSAPEG00000000038.1,6.16474,3.39914,4.85008,0,4.09531,4.34263
ENSAPEG00000000039.1,0,0.325511,0,0,0.383824,0
ENSAPEG00000000040.1,2.497351,0.935096,0,1.12019,1.6510018,1.833404
ENSAPEG00000000041.1,10.366071,6.133093,8.54487,10.45638,8.3390318,9.859524
ENSAPEG00000000042.1,54.6193,49.2629,57.903,62.5453,52.303,47.1755
ENSAPEG00000000043.1,0,0.585793,0,0,0.23428,0.614108
ENSAPEG00000000044.1,183.2698,295.6155,123.366,286.325,236.3332,276.7247
ENSAPEG00000000045.1,8.17327,9.65312,14.3744,5.41397,9.72455,3.6161
ENSAPEG00000000046.1,0.822989,0.9754575,1.27541,0,1.067397,1.909009
ENSAPEG00000000047.1,0,0,0,0,0,0.345343
ENSAPEG00000000048.1,2.51101,2.37329,0,0,0.500388,3.09885
ENSAPEG00000000049.1,18.4799,15.3435,14.2654,10.9089,14.591,19.1174
ENSAPEG00000000050.1,23.294753,30.879258,15.9172,20.666,22.485671,29.0149349
ENSAPEG00000000051.1,0,0.207257,0,0,0,0
ENSAPEG00000000052.1,2.74702,5.02602,9.23187,8.05371,2.2125,3.54705
ENSAPEG00000000053.1,15.3753,11.6648,13.1217,26.163,12.3422,9.78356
ENSAPEG00000000054.1,509.73900000000003,562.313,518.375,424.773,692.342,574.554
ENSAPEG00000000055.1,1.6014,1.17655,2.1557,0.417198,2.18137,2.28039
ENSAPEG00000000056.1,3724.35,3730.34,3732.3,3177.34,3691.98,3294.51
ENSAPEG00000000059.1,94.6202,71.4939,67.9273,92.6095,69.0022,91.5159
ENSAPEG00000000060.1,8.44072,6.29252,7.2098,7.79773,7.73324,7.98689
ENSAPEG00000000061.1,69.9279,51.9452,75.248,69.9595,94.6373,91.2841
ENSAPEG00000000062.1,1.55887,1.11089,2.07616,1.47615,1.36168,0.797674
ENSAPEG00000000063.1,14.8828,18.6682,18.7501,10.0591,20.0092,20.0436
ENSAPEG00000000064.1,0,0,0,0,0,0.345343
ENSAPEG00000000065.1,2.51101,2.37329,0,0,0.500388,3.09885
ENSAPEG00000000066.1,5.41105,3.99304,0,0,6.21162,4.91534
ENSAPEG00000000067.1,0,0,0,0,0,0
ENSAPEG00000000068.1,0,0,0,0,0,0.0877297
ENSAPEG00000000069.1,0,0,0,0,0,0
ENSAPEG00000000070.1,0,0.138984,0,0,0,0.128655
