symbol,gene_id
Neu 1,ENSAPEG00000004181
Neu3.1,ENSAPEG00000000939
Neu3,ENSAPEG00000023257
SLC17A5,ENSAPEG00000016215
SLC35A1,ENSAPEG00000008810
CMASa,ENSAPEG00000013348
Siae,ENSAPEG00000022419
nanp,ENSAPEG00000005013
st8sia1,ENSAPEG00000016880
st8sia2,ENSAPEG00000012621
st8sia3,ENSAPEG00000020803
st8sia5,ENSAPEG00000003267
st8sia6,ENSAPEG00000003267
st8sia6.1,ENSAPEG00000003145
st6galnac4,ENSAPEG00000022366
st6galnac5a,ENSAPEG00000011864
st6galnac5b,ENSAPEG00000004968
 st6galnac6,ENSAPEG00000022379
st6gal1,ENSAPEG00000008705
St6gal2,ENSAPEG00000007468
novel gene St6gal ,ENSAPEG00000007265
st3gal1,ENSAPEG00000005593
st3gal1,ENSAPEG00000005440
st3gal2,ENSAPEG00000022858
st3gal3a,ENSAPEG00000020625
st3gal3b,ENSAPEG00000015394
st3gal4,ENSAPEG00000022247
st3gal5,ENSAPEG00000016265
st3gal7,ENSAPEG00000014662
st3gal8,ENSAPEG00000021608
