ENSAPET00000000592.1 ENSAPEG00000000464.1
ENSAPET00000000603.1 ENSAPEG00000000473.1
ENSAPET00000000834.1 ENSAPEG00000000623.1
ENSAPET00000000837.1 ENSAPEG00000000626.1
ENSAPET00000001157.1 ENSAPEG00000000851.1
ENSAPET00000001168.1 ENSAPEG00000000854.1
ENSAPET00000018503.1 ENSAPEG00000012885.1
ENSAPET00000018508.1 ENSAPEG00000012892.1
ENSAPET00000024334.1 ENSAPEG00000016868.1
ENSAPET00000024338.1 ENSAPEG00000016874.1
ENSAPET00000024545.1 ENSAPEG00000017017.1
ENSAPET00000024558.1 ENSAPEG00000017023.1
ENSAPET00000000535.1 ENSAPEG00000000421.1
ENSAPET00000001186.1 ENSAPEG00000000871.1
ENSAPET00000001195.1 ENSAPEG00000000886.1
ENSAPET00000001219.1 ENSAPEG00000000897.1
ENSAPET00000001303.1 ENSAPEG00000000955.1
ENSAPET00000001359.1 ENSAPEG00000001008.1
ENSAPET00000001500.1 ENSAPEG00000001107.1
ENSAPET00000001513.1 ENSAPEG00000001111.1
ENSAPET00000001578.1 ENSAPEG00000001157.1
ENSAPET00000017208.1 ENSAPEG00000011975.1
ENSAPET00000018525.1 ENSAPEG00000012900.1
ENSAPET00000018544.1 ENSAPEG00000012912.1
ENSAPET00000018562.1 ENSAPEG00000012924.1
ENSAPET00000018566.1 ENSAPEG00000012928.1
ENSAPET00000023986.1 ENSAPEG00000016624.1
ENSAPET00000023995.1 ENSAPEG00000016630.1
ENSAPET00000024100.1 ENSAPEG00000016713.1
ENSAPET00000024106.1 ENSAPEG00000016717.1
ENSAPET00000024175.1 ENSAPEG00000016758.1
ENSAPET00000024251.1 ENSAPEG00000016817.1
ENSAPET00000024270.1 ENSAPEG00000016830.1
ENSAPET00000024280.1 ENSAPEG00000016833.1
ENSAPET00000024568.1 ENSAPEG00000017031.1
ENSAPET00000024573.1 ENSAPEG00000017038.1
ENSAPET00000024604.1 ENSAPEG00000017056.1
ENSAPET00000024610.1 ENSAPEG00000017062.1
ENSAPET00000024682.1 ENSAPEG00000017106.1
ENSAPET00000024725.1 ENSAPEG00000017135.1
ENSAPET00000024747.1 ENSAPEG00000017148.1
ENSAPET00000025027.1 ENSAPEG00000017343.1
ENSAPET00000025181.1 ENSAPEG00000017455.1
ENSAPET00000025225.1 ENSAPEG00000017488.1
ENSAPET00000025233.1 ENSAPEG00000017492.1
ENSAPET00000025241.1 ENSAPEG00000017498.1
ENSAPET00000025298.1 ENSAPEG00000017534.1
ENSAPET00000025307.1 ENSAPEG00000017541.1
ENSAPET00000025333.1 ENSAPEG00000017563.1
ENSAPET00000025351.1 ENSAPEG00000017581.1
ENSAPET00000025436.1 ENSAPEG00000017634.1
ENSAPET00000025443.1 ENSAPEG00000017638.1
ENSAPET00000010032.1 ENSAPEG00000007018.1
ENSAPET00000010178.1 ENSAPEG00000007117.1
ENSAPET00000000002.1 ENSAPEG00000000002.1
ENSAPET00000000003.1 ENSAPEG00000000002.1
ENSAPET00000000004.1 ENSAPEG00000000002.1
ENSAPET00000000005.1 ENSAPEG00000000002.1
ENSAPET00000000006.1 ENSAPEG00000000003.1
ENSAPET00000000007.1 ENSAPEG00000000004.1
ENSAPET00000000008.1 ENSAPEG00000000005.1
ENSAPET00000000009.1 ENSAPEG00000000006.1
ENSAPET00000000010.1 ENSAPEG00000000006.1
ENSAPET00000000011.1 ENSAPEG00000000007.1
ENSAPET00000000012.1 ENSAPEG00000000008.1
ENSAPET00000000013.1 ENSAPEG00000000009.1
ENSAPET00000000014.1 ENSAPEG00000000010.1
ENSAPET00000000015.1 ENSAPEG00000000010.1
ENSAPET00000000016.1 ENSAPEG00000000011.1
ENSAPET00000000017.1 ENSAPEG00000000011.1
ENSAPET00000000018.1 ENSAPEG00000000012.1
ENSAPET00000000019.1 ENSAPEG00000000013.1
ENSAPET00000000020.1 ENSAPEG00000000013.1
ENSAPET00000000021.1 ENSAPEG00000000014.1
ENSAPET00000000022.1 ENSAPEG00000000015.1
ENSAPET00000000023.1 ENSAPEG00000000016.1
ENSAPET00000000024.1 ENSAPEG00000000017.1
ENSAPET00000000025.1 ENSAPEG00000000017.1
ENSAPET00000000026.1 ENSAPEG00000000018.1
ENSAPET00000000027.1 ENSAPEG00000000019.1
ENSAPET00000000028.1 ENSAPEG00000000019.1
ENSAPET00000000029.1 ENSAPEG00000000020.1
ENSAPET00000000030.1 ENSAPEG00000000021.1
ENSAPET00000000031.1 ENSAPEG00000000022.1
ENSAPET00000000032.1 ENSAPEG00000000023.1
ENSAPET00000000033.1 ENSAPEG00000000024.1
ENSAPET00000000034.1 ENSAPEG00000000025.1
ENSAPET00000000035.1 ENSAPEG00000000026.1
ENSAPET00000000036.1 ENSAPEG00000000027.1
ENSAPET00000000037.1 ENSAPEG00000000028.1
ENSAPET00000000038.1 ENSAPEG00000000029.1
ENSAPET00000000039.1 ENSAPEG00000000029.1
ENSAPET00000000040.1 ENSAPEG00000000030.1
ENSAPET00000000041.1 ENSAPEG00000000030.1
ENSAPET00000000042.1 ENSAPEG00000000031.1
ENSAPET00000000043.1 ENSAPEG00000000032.1
ENSAPET00000000044.1 ENSAPEG00000000032.1
ENSAPET00000000045.1 ENSAPEG00000000032.1
ENSAPET00000000046.1 ENSAPEG00000000033.1
ENSAPET00000000047.1 ENSAPEG00000000033.1
ENSAPET00000000048.1 ENSAPEG00000000034.1
ENSAPET00000000049.1 ENSAPEG00000000035.1
ENSAPET00000000050.1 ENSAPEG00000000036.1
ENSAPET00000000051.1 ENSAPEG00000000037.1
ENSAPET00000000052.1 ENSAPEG00000000038.1
ENSAPET00000000053.1 ENSAPEG00000000039.1
ENSAPET00000000054.1 ENSAPEG00000000040.1
ENSAPET00000000055.1 ENSAPEG00000000040.1
ENSAPET00000000056.1 ENSAPEG00000000041.1
ENSAPET00000000057.1 ENSAPEG00000000041.1
ENSAPET00000000058.1 ENSAPEG00000000041.1
ENSAPET00000000059.1 ENSAPEG00000000042.1
ENSAPET00000000060.1 ENSAPEG00000000043.1
ENSAPET00000000061.1 ENSAPEG00000000044.1
ENSAPET00000000062.1 ENSAPEG00000000044.1
ENSAPET00000000063.1 ENSAPEG00000000044.1
ENSAPET00000000064.1 ENSAPEG00000000045.1
ENSAPET00000000065.1 ENSAPEG00000000046.1
ENSAPET00000000066.1 ENSAPEG00000000046.1
ENSAPET00000000067.1 ENSAPEG00000000046.1
ENSAPET00000000068.1 ENSAPEG00000000046.1
ENSAPET00000000069.1 ENSAPEG00000000046.1
ENSAPET00000000070.1 ENSAPEG00000000046.1
ENSAPET00000000071.1 ENSAPEG00000000047.1
ENSAPET00000000072.1 ENSAPEG00000000048.1
ENSAPET00000000073.1 ENSAPEG00000000049.1
ENSAPET00000000074.1 ENSAPEG00000000050.1
ENSAPET00000000075.1 ENSAPEG00000000050.1
ENSAPET00000000076.1 ENSAPEG00000000050.1
ENSAPET00000000077.1 ENSAPEG00000000050.1
ENSAPET00000000078.1 ENSAPEG00000000051.1
ENSAPET00000000079.1 ENSAPEG00000000052.1
ENSAPET00000000080.1 ENSAPEG00000000053.1
ENSAPET00000000081.1 ENSAPEG00000000054.1
ENSAPET00000000082.1 ENSAPEG00000000054.1
ENSAPET00000000083.1 ENSAPEG00000000055.1
ENSAPET00000000084.1 ENSAPEG00000000056.1
ENSAPET00000000087.1 ENSAPEG00000000059.1
ENSAPET00000000088.1 ENSAPEG00000000060.1
ENSAPET00000000089.1 ENSAPEG00000000061.1
ENSAPET00000000090.1 ENSAPEG00000000062.1
ENSAPET00000000091.1 ENSAPEG00000000063.1
ENSAPET00000000092.1 ENSAPEG00000000064.1
ENSAPET00000000093.1 ENSAPEG00000000065.1
ENSAPET00000000094.1 ENSAPEG00000000066.1
ENSAPET00000000095.1 ENSAPEG00000000067.1
ENSAPET00000000096.1 ENSAPEG00000000068.1
ENSAPET00000000097.1 ENSAPEG00000000069.1
ENSAPET00000000098.1 ENSAPEG00000000070.1
ENSAPET00000000099.1 ENSAPEG00000000071.1
ENSAPET00000000100.1 ENSAPEG00000000071.1
ENSAPET00000000101.1 ENSAPEG00000000072.1
ENSAPET00000000102.1 ENSAPEG00000000073.1
ENSAPET00000000103.1 ENSAPEG00000000074.1
ENSAPET00000000104.1 ENSAPEG00000000075.1
ENSAPET00000000105.1 ENSAPEG00000000076.1
ENSAPET00000000106.1 ENSAPEG00000000076.1
ENSAPET00000000107.1 ENSAPEG00000000077.1
ENSAPET00000000108.1 ENSAPEG00000000078.1
ENSAPET00000000109.1 ENSAPEG00000000079.1
ENSAPET00000000110.1 ENSAPEG00000000080.1
ENSAPET00000000111.1 ENSAPEG00000000081.1
ENSAPET00000000112.1 ENSAPEG00000000082.1
ENSAPET00000000113.1 ENSAPEG00000000083.1
ENSAPET00000000114.1 ENSAPEG00000000084.1
ENSAPET00000000115.1 ENSAPEG00000000085.1
ENSAPET00000000116.1 ENSAPEG00000000085.1
ENSAPET00000000117.1 ENSAPEG00000000085.1
ENSAPET00000000118.1 ENSAPEG00000000086.1
ENSAPET00000000119.1 ENSAPEG00000000087.1
ENSAPET00000000120.1 ENSAPEG00000000088.1
ENSAPET00000000121.1 ENSAPEG00000000089.1
ENSAPET00000000122.1 ENSAPEG00000000090.1
ENSAPET00000000123.1 ENSAPEG00000000091.1
ENSAPET00000000124.1 ENSAPEG00000000091.1
ENSAPET00000000125.1 ENSAPEG00000000092.1
ENSAPET00000000126.1 ENSAPEG00000000092.1
ENSAPET00000000127.1 ENSAPEG00000000093.1
ENSAPET00000000128.1 ENSAPEG00000000094.1
ENSAPET00000000129.1 ENSAPEG00000000095.1
ENSAPET00000000130.1 ENSAPEG00000000096.1
ENSAPET00000000131.1 ENSAPEG00000000096.1
ENSAPET00000000132.1 ENSAPEG00000000096.1
ENSAPET00000000133.1 ENSAPEG00000000097.1
ENSAPET00000000134.1 ENSAPEG00000000098.1
ENSAPET00000000135.1 ENSAPEG00000000099.1
ENSAPET00000000136.1 ENSAPEG00000000099.1
ENSAPET00000000137.1 ENSAPEG00000000100.1
ENSAPET00000000138.1 ENSAPEG00000000100.1
ENSAPET00000000139.1 ENSAPEG00000000100.1
ENSAPET00000000140.1 ENSAPEG00000000100.1
ENSAPET00000000141.1 ENSAPEG00000000100.1
ENSAPET00000000142.1 ENSAPEG00000000100.1
ENSAPET00000000143.1 ENSAPEG00000000101.1
ENSAPET00000000144.1 ENSAPEG00000000102.1
ENSAPET00000000145.1 ENSAPEG00000000103.1
ENSAPET00000000146.1 ENSAPEG00000000104.1
ENSAPET00000000147.1 ENSAPEG00000000104.1
ENSAPET00000000148.1 ENSAPEG00000000104.1
ENSAPET00000000149.1 ENSAPEG00000000105.1
ENSAPET00000000150.1 ENSAPEG00000000106.1
ENSAPET00000000151.1 ENSAPEG00000000107.1
ENSAPET00000000152.1 ENSAPEG00000000108.1
ENSAPET00000000153.1 ENSAPEG00000000108.1
ENSAPET00000000154.1 ENSAPEG00000000109.1
ENSAPET00000000155.1 ENSAPEG00000000110.1
ENSAPET00000000156.1 ENSAPEG00000000111.1
ENSAPET00000000157.1 ENSAPEG00000000112.1
ENSAPET00000000158.1 ENSAPEG00000000113.1
ENSAPET00000000159.1 ENSAPEG00000000113.1
ENSAPET00000000161.1 ENSAPEG00000000115.1
ENSAPET00000000162.1 ENSAPEG00000000115.1
ENSAPET00000000163.1 ENSAPEG00000000116.1
ENSAPET00000000164.1 ENSAPEG00000000117.1
ENSAPET00000000165.1 ENSAPEG00000000118.1
